Filename,Science_Mean,Science_Std,Reference_Mean,Reference_Std,Diff_Mean,Diff_Std,SNR,Result
SN 2018fhw.fits,nan,nan,1880.2268,871.55994,nan,nan,0, Poor triplet
SDSS-II SN 16173.fits,190.43578,70.288445,1965.7291,542.0966,1775.2937,508.81088,2.089123, Moderate triplet
SN 2021hcz.fits,202.76926,110.74465,2971.5303,2246.795,2768.7607,2191.187,11.223727, Good triplet
SN 2021qoq.fits,232.35652,365.76685,2618.9521,1818.9233,2383.888,1603.7823,1.2107488, Moderate triplet
SN 2016dsn.fits,192.65073,149.85117,1803.3926,593.35095,1610.7545,516.709,9.343836, Good triplet
SN 2022gnp.fits,196.3529,67.66892,2160.1016,1444.4165,1958.007,1359.6643,11.657177, Good triplet
SN 2018djd.fits,198.44608,47.74444,1639.2007,1076.2279,1434.2844,1000.4858,5.6621923, Good triplet
SN 2019bxq.fits,187.59026,60.160614,1411.8805,895.91534,1200.334,622.87415,0, Moderate triplet
SN 2020hvp.fits,199.2953,96.60258,2209.5908,1545.1301,2006.7406,1478.8374,4.351351, Moderate triplet
SN 2021acna.fits,192.73587,100.63719,1884.1638,978.23474,1691.4277,944.45233,7.902089, Good triplet
SN 2021lxb.fits,191.47052,141.9621,2114.8828,988.91406,1912.3156,833.4234,9.849594, Good triplet
SN 2022yrp.fits,188.62733,45.683613,1861.476,421.29266,1672.8489,401.20834,8.3262415, Good triplet
SN 2023xtp.fits,189.00055,52.65557,2127.3132,998.6357,1908.7456,709.83234,9.525735, Good triplet
SN2007gt.fits,192.25731,118.84684,1681.2106,831.88025,1488.9528,775.88165,3.5749938, Moderate triplet
SN 2020actp.fits,191.76035,223.97586,1914.0006,762.606,1722.7999,694.7033,0.96663916, Moderate triplet
SN 2016coj.fits,220.17511,170.29651,3292.1338,2499.3906,3058.9062,2357.4495,14.086304, Good triplet
SN 2025bvm.fits,190.82574,63.312504,2176.6482,1187.2689,1978.5494,1105.891,9.773626, Good triplet
SN 2021kwc.fits,195.27711,169.10913,2030.0212,897.7877,1842.9133,876.1576,10.029156, Good triplet
SN 2022abfi.fits,192.84874,75.514694,2058.6394,812.16595,1861.9744,705.0062,11.697955, Good triplet
SN2018etm.fits,188.29535,45.447212,2200.4927,917.988,2012.2212,884.2799,11.536717, Good triplet
